TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013)","Make your own collage sheets with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Mini Candy Bar Wrappers - each rectangle and frame a little bit bigger than 1.5x3.25 inch size - for perfect trimming - no more white lines!
Will fit Hersey's mini candy or product of very similar size
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
- Collage Sheet Template .psd
- Collage Sheet Template .tif
- Collage Sheet Template .png
All files will be in a folder in .zip format

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,7,"photoshop,gimp,digital,template,layered,png,psd,birthday,party,favor,candy_wrapper,Hersey,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/7e42b4/328380419/il_fullxfull.328380419.jpg,,,,,,,,,,,,,,,,
"2021 Bookmarks Calendar, Printable Planner Calendar, Full year Calendar, Editable bookmarks","Printable 2021 Full Year Calendar - INSTANT DOWNLOAD

Bookmarks calendar - 8"" x 2,4"" size
300dpi resolution
Sheet size 8.5""x11""

This template is design to create double-sided bookmark calendar. On the bottom of calendar side is small space to add your company name and contacts

YOU WILL RECEIVE
- Sunday start 2021 full calendar
- Monday start 2021 full calendar
- bigger overlay without cut lines for front images

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",5,USD,3,"favor,bookmark,planner_calendar,printable_calendar,bookmarks_calendar,2020_calendar,full_year_calendar,company_calendar,DIY_calendar,2021_year_calendar,2021_bookmarks,2021_calendar,2021_gift_calendar",,https://i.etsystatic.com/6852489/r/il/2e190d/2683580491/il_fullxfull.2683580491_52wo.jpg,https://i.etsystatic.com/6852489/r/il/d55270/2139098739/il_fullxfull.2139098739_o3t0.jpg,https://i.etsystatic.com/6852489/r/il/44e22a/2139098775/il_fullxfull.2139098775_nmt0.jpg,https://i.etsystatic.com/6852489/r/il/ea6641/2091538104/il_fullxfull.2091538104_8yl6.jpg,,,,,,,,,,,,,
"Construction Digital Paper Pack - 40 files - 12x12 Scrapbooking Paper - Instant Download (SET4)","These papers will come in handy in any creative project like scrapbooking, invitations, announcements, and party favors, stationary, paper crafts and art. Ready for immediate digital and print use!

Construction Digital Paper Pack contains FORTY 12"" x 12"" (3600 x 3600 px) digital papers. Files are in 300dpi JPG and PNG formats. Works with graphics programs such as Photoshop, Photoshop Elements, GIMP. etc.
All files will be in a folder in .zip format

~LICENSE~
You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

~MATCHING CLIPART~
https://www.etsy.com/listing/527600439

~INSTANT DOWNLOAD~
After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",4,USD,4,"photoshop,gimp,digital,do_it_yourself,party_favor,photo,birthday,construction,12x12_paper,Digital_Scrapbook,Printable_Paper,Truck,digital_background",,https://i.etsystatic.com/6852489/r/il/c4d6d5/1236302217/il_fullxfull.1236302217_js3y.jpg,https://i.etsystatic.com/6852489/r/il/f91357/1236302291/il_fullxfull.1236302291_jbq2.jpg,https://i.etsystatic.com/6852489/r/il/0e8428/1189084788/il_fullxfull.1189084788_dxta.jpg,https://i.etsystatic.com/6852489/r/il/717603/1189084776/il_fullxfull.1189084776_k7za.jpg,https://i.etsystatic.com/6852489/r/il/b84bea/1189084760/il_fullxfull.1189084760_oo06.jpg,,,,,,,,,,,,
"Postcards Back - 4x6"" and 5x7"" - (T099)","Use this digital template to create your own postcards for any occasion - like birthday, anniversary, christmas and new year
These postcard backs come in two sizes/three font styles and are perfect for DIY journaling and scrapbooking projects

300dpi resolution
Sheet size 4""x6"" and 5""x7""

YOU WILL RECEIVE
6 images both in PNG and JPG formats
All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
You can check these links to find program you may have
www.fileinfo.com/extension/png

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,9,"digital,template,png,birthday,scrapbooking,MICROSOFT_WORD,postcard,postcard_back,post_card,christmas_card,post_card_template,diy_card_template,journaling",,https://i.etsystatic.com/6852489/r/il/3abd60/1138561149/il_fullxfull.1138561149_1cgk.jpg,https://i.etsystatic.com/6852489/r/il/55da4d/1091970028/il_fullxfull.1091970028_clvb.jpg,,,,,,,,,,,,,,,
"Tic Tac Label Set - Digital Collage Sheet Layered Template - (T059)","Make your own collage sheets with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Tic Tac Label Set - one for full wrap, one for front and back label
300dpi resolution
Sheet size 8.5""x11""
Full wrap size - 3,75"" x 1,25""
Front and back label - 1,25"" x 2,25""

YOU WILL RECEIVE
- Collage Sheet Template .psd
- Collage Sheet Template .tif
- Collage Sheet Template .png

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,3,"photoshop,gimp,digital,template,layered,png,psd,birthday,party,favor,wrapper,tic_tac,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/b77fcd/340602701/il_fullxfull.340602701.jpg,,,,,,,,,,,,,,,,
"2021 (and 2020) digital PNG calendar - 12 fonts - Black and White - monthly calendar - transparent background","Printable 2021 Monthly Calendar
transparent PNG files
Monday and Sunday Start

It measures 3"" x 2,5""
300 dpi high quality

You will get
- 12 sets of month pages (12 different fonts) for 2021
- year 2021 files
Both in white and black colors
+ the set for the year 2020 (black only)
Fonts list is included - all fonts are free for commercial use

You do not need a license for your commercial use

All files will be in a folder in .zip format

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collages for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",5,USD,9,"calendar,photographer,calendar_template,monthly_calendar,premade_calendar,anniversary_calendar,scrapbooking,diy_calendar,png_calendar,2021_calendar,year_2021_template,2021_wedding,white_calendar",,https://i.etsystatic.com/6852489/r/il/bf7483/2372021653/il_fullxfull.2372021653_2hwp.jpg,https://i.etsystatic.com/6852489/r/il/e1978a/1732134535/il_fullxfull.1732134535_gmlh.jpg,,,,,,,,,,,,,,,
"2021 Calendar template 8.5""x11"" (C23) JPG and PNG - personal or commercial use","Printable 2021 Single page 12 month calendar
PNG and JPG files
Sunday and Monday start
Horizontal and Vertical orientation
12 fonts - 4 Serif, 4 Sans Serif, 4 Script - All fonts are free for commercial use

It measures 8.5"" x 11""
300 dpi high quality

YOU WILL RECEIVE
- Horizontal sunday start calendars - 12 fonts - PNG + JPG
- Vertical sunday start calendars - 12 fonts - PNG + JPG
- Horizontal monday start calendars - 12 fonts - PNG + JPG
- Vertical monday start calendars - 12 fonts - PNG + JPG
- Fonts list with links to download

You can check these links to find program you may have
www.fileinfo.com/extension/png
www.fileinfo.com/extension/jpg

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",5,USD,1,"printable,calendar,gift,template,photo,wedding,Photographer,wall_calendar,DIY_calendar,png_calendar,2021_calendar,2021_photo_calendar,2021_desk_calendar",,https://i.etsystatic.com/6852489/r/il/da0be4/2445704611/il_fullxfull.2445704611_7s6k.jpg,https://i.etsystatic.com/6852489/r/il/7c917c/2398080074/il_fullxfull.2398080074_bw3l.jpg,https://i.etsystatic.com/6852489/r/il/a78555/2445704725/il_fullxfull.2445704725_stsv.jpg,https://i.etsystatic.com/6852489/r/il/a8f63c/1579630913/il_fullxfull.1579630913_qtql.jpg,,,,,,,,,,,,,
"2"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T048)","Make your own collage sheets with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for 2 inch circles. Each circle and frame a little bit bigger than 2 inch size - for perfect trimming - no more white lines!
300dpi resolution
Sheet size 8.5""x11""
Fits to Avery 2"" labels

YOU WILL RECEIVE
Collage Sheet Template .psd
Collage Sheet Template .tif
Collage Sheet Template .png

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,5,"photoshop,gimp,digital,template,layered,png,psd,party_favor,tag,cupcake_topper,avery,2_inch,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/c3cc5c/328823375/il_fullxfull.328823375.jpg,,,,,,,,,,,,,,,,
"Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001)","Make your own collage sheets with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Treat Bag Toppers 4"" x 3.5"" (when folded in half 4"" x 1.75"")
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
Collage Sheet Template .psd
Collage Sheet Template .tif
Collage Sheet Template .png

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,7,"photoshop,gimp,digital,template,layered,do_it_yourself,png,psd,party_favor,treat_bag_topper,photo,birthday,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/bfac76/328501440/il_fullxfull.328501440.jpg,,,,,,,,,,,,,,,,
"Foldable cards 4""x4"" - Vertical and Horizontal - Digital Layered Template - (T115)","Make your own collage with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Foldable cards - size 4""x4"" vertical and horizontal
300dpi resolution
Sheet size
- L - 8.5"" x 11""
- HL - 5.5"" x 8.5""

YOU WILL RECEIVE FILES IN FOLLOWING FORMATS
- PSD (classical for Photoshop, Gimp, Photopea, etc)
- TIF (optimized layered format)
- PNG (can be used in MS WORD)
- AI (vector for cutting machines)

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in four variants - png, psd, ai and tif
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif
https://fileinfo.com/extension/ai

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,5,"photoshop,gimp,digital,template,png,psd,birthday,party,MICROSOFT_WORD,foldable_card,greeting_card,postcard,card_template",,https://i.etsystatic.com/6852489/r/il/e2fbca/2313419611/il_fullxfull.2313419611_naqc.jpg,https://i.etsystatic.com/6852489/r/il/3bacec/2265819994/il_fullxfull.2265819994_r0p7.jpg,https://i.etsystatic.com/6852489/r/il/49879c/2313419649/il_fullxfull.2313419649_ti0h.jpg,,,,,,,,,,,,,,
