,Item Name,Item Total,total_percentage,cum_perc,group
100,Any Year Level 10 Success and 100 Goals - Printable Planner Pages - 5 sizes - Monthly Planner - Miracle Morning - Goal Planner,5.0,0.000496108032485154,0.9876419489107959,C
99,ART PARTY Invitation Printable,5.0,0.000496108032485154,0.988138056943281,C
88,2021 digital PNG calendar - 12 fonts - onthly calendar - transparent background,5.0,0.000496108032485154,0.9886341649757662,C
85,"2021 PSD Calendar templates 5""x7"" (C10) - Sunday Start - personal or commercial use",4.5,0.00044649722923663864,0.9890806622050028,C
83,"2021 PSD Calendar templates 4""x6"" (C16) - Monday Start - personal or commercial use",4.5,0.00044649722923663864,0.9895271594342394,C
81,"2021 PSD Calendar template 8.5""x11"" (C22) - Sunday Start - personal or commercial use",4.5,0.00044649722923663864,0.989973656663476,C
1,"1"" Circles - Digital Collage Sheet Layered Template - (T041)",4.0,0.00039688642598812324,0.9903705430894642,C
3,"1"" Squares - Digital Collage Sheet Layered Template - (T042)",4.0,0.00039688642598812324,0.9907674295154523,C
52,2021 CD Case Calendar templates PNG and JPG - 3 fonts - personal or commercial use,4.0,0.00039688642598812324,0.9911643159414404,C
90,"2021PSD Calendar template 8.5""x11"" (C22) - Sunday Start - personal or commercial use",4.0,0.00039688642598812324,0.9915612023674285,C
178,Pinwheel Set - Digital Collage Layered Template - (T007),4.0,0.00039688642598812324,0.9919580887934166,C
132,Cupcake Toppers and Wrappers Set - Digital Collage Layered Template - (T004),4.0,0.00039688642598812324,0.9923549752194047,C
146,Fries Box - Digital Collage Layered Template - (T009),4.0,0.00039688642598812324,0.9927518616453929,C
202,RESERVED for Dana,3.5,0.0003472756227396078,0.9930991372681325,C
115,Bookmarks 2021 Calendar templates - 6 fonts - Monday Start - personal or commercial use,3.5,0.0003472756227396078,0.9934464128908721,C
37,"2020 PNG Calendar overlays 5""x7"" - Sunday Start - personal or commercial use (C14)",3.5,0.0003472756227396078,0.9937936885136117,C
66,2021 Calendar templates PNG - 6 fonts - Monday Start - personal or commercial use,3.5,0.0003472756227396078,0.9941409641363513,C
50,2021 CD Case Calendar templates PNG and JPG - 3 fonts - Monday Start - personal or commercial use,3.5,0.0003472756227396078,0.994488239759091,C
112,Bookmarks 2020 Calendar templates - 6 fonts - Sunday Start - personal or commercial use,3.5,0.0003472756227396078,0.9948355153818306,C
68,2021 Calendar templates PNG - Monday Start - personal or commercial use,3.5,0.0003472756227396078,0.9951827910045702,C
42,2021 (and 2020) Calendar templates PNG - 12 fonts - Monday Start - personal or commercial use,3.5,0.0003472756227396078,0.9955300666273098,C
46,"2021 8,5x11"" Calendar templates PNG and JPG - 3 fonts - Monday Start - personal or commercial use",3.5,0.0003472756227396078,0.9958773422500494,C
47,"2021 8,5x11"" Calendar templates PNG and JPG - 3 fonts - Sunday Start - personal or commercial use",3.5,0.0003472756227396078,0.996224617872789,C
27,2020 (and 2019) Calendar templates PNG - 12 fonts - Sunday Start - personal or commercial use,3.5,0.0003472756227396078,0.9965718934955287,C
53,"2021 Calendar template - PNG files - 8,5x11"" - Sunday Start - personal or commercial use",3.5,0.0003472756227396078,0.9969191691182683,C
196,Princess Jasmine Regular Candy Bar Wrappers Printable,3.0,0.0002976648194910924,0.9972168339377594,C
205,RESERVED for Shante,3.0,0.0002976648194910924,0.9975144987572505,C
170,Party Banner - Digital Collage Layered Template - (T011),2.0,0.00019844321299406162,0.9977129419702446,C
171,Party Banner - Digital Collage Layered Template - (T100),2.0,0.00019844321299406162,0.9979113851832387,C
174,Party Banner - Digital Collage Sheet Layered Template - (T101),2.0,0.00019844321299406162,0.9981098283962329,C
94,"6 PSD Photo Card templates 5""x7"" - Hearts - SET 1 - personal or commercial use",2.0,0.00019844321299406162,0.998308271609227,C
97,"6 PSD Photo Card templates 5""x7"" - SET 4 - personal or commercial use",2.0,0.00019844321299406162,0.9985067148222211,C
200,Pyramid Favor Box - Digital Collage Layered Template - (T053),2.0,0.00019844321299406162,0.9987051580352152,C
15,"2"" Hearts - Digital Collage Sheet Layered Template - (T097)",2.0,0.00019844321299406162,0.9989036012482093,C
16,"2"" round tags - Calendar 2021 (and 2020) - Monday Start - COLORED - personal or commercial use",2.0,0.00019844321299406162,0.9991020444612034,C
17,"2"" round tags - Calendar 2021 (and 2020) - Monday Start - personal or commercial use",2.0,0.00019844321299406162,0.9993004876741975,C
210,Scrabble Tiles - Digital Collage Sheet Layered Template - (T033),2.0,0.00019844321299406162,0.9994989308871917,C
96,"6 PSD Photo Card templates 5""x7"" - SET 2 - personal or commercial use",1.8,0.00017859889169465545,0.9996775297788864,C
140,"Editable Christmas Bottle Cap Images - 1 inch digital images collage sheet 4x6""",1.75,0.0001736378113698039,0.9998511675902562,C
193,"Pride and Prejudice - (C025) - 1 inch digital images collage sheet 4x6""",1.5,0.0001488324097455462,1.0000000000000018,C
