sch123456;7;ias07/sch123456/7/w56w97;1.0;1.0022021011643371e+17;372575.0;Ошибка браузера
sch123456;7;ias07/sch123456/7/g5w8q7;1.0;100220210116343177;372695;Не прошел олимпиаду
sch123456;7;ias07/sch123456/7/w584r5;;;;
sch123456;7;ias07/sch123456/7/974965;;;;
sch123456;7;ias07/sch123456/7/97g885;;;;
sch123456;7;ias07/sch123456/7/z7zz67;;;;
sch123456;7;ias07/sch123456/7/373387;;;;
sch123456;7;ias07/sch123456/7/359rg7;;;;
sch123456;7;ias07/sch123456/7/z526g5;;;;
sch123456;7;ias07/sch123456/7/87vr67;;;;
sch123456;7;ias07/sch123456/7/q7q645;;;;
sch123456;7;ias07/sch123456/7/q7rwv5;;;;
sch123456;7;ias07/sch123456/7/w56g97;;;;
sch123456;7;ias07/sch123456/7/g5w3q5;;;;
sch123456;7;ias07/sch123456/7/w583r7;;;;
sch123456;7;ias07/sch123456/7/974867;;;;
sch123456;7;ias07/sch123456/7/97gr85;;;;
sch123456;7;ias07/sch123456/7/z7z667;;;;
sch123456;7;ias07/sch123456/7/373w87;;;;
sch123456;7;ias07/sch123456/7/3599g5;;;;
sch123456;7;ias07/sch123456/7/z52rg5;;;;
sch123456;7;ias07/sch123456/7/87vv67;;;;
sch123456;7;ias07/sch123456/7/q7qg47;;;;
sch123456;7;ias07/sch123456/7/q7rzv7;;;;
sch123456;7;ias07/sch123456/7/w56z95;;;;
sch123456;7;ias07/sch123456/7/g5w6q7;;;;
sch123456;7;ias07/sch123456/7/7rrvv7;;;;
sch123456;7;ias07/sch123456/7/w589r7;;;;
sch123456;7;ias07/sch123456/7/974467;;;;
sch123456;7;ias07/sch123456/7/97gg87;;;;
sch123456;7;ias07/sch123456/7/z7z467;;;;
sch123456;7;ias07/sch123456/7/373885;;;;
sch123456;7;ias07/sch123456/7/3592g7;;;;
sch123456;7;ias07/sch123456/7/z52wg7;;;;
sch123456;7;ias07/sch123456/7/87vz67;;;;
sch123456;7;ias07/sch123456/7/q7q347;;;;
sch123456;7;ias07/sch123456/7/q7r2v7;;;;
sch123456;7;ias07/sch123456/7/w56v95;;;;
sch123456;7;ias07/sch123456/7/g5w9q5;;;;
sch123456;7;ias07/sch123456/7/w588r5;;;;
sch123456;7;ias07/sch123456/7/56q297;;;;
sch123456;7;ias07/sch123456/7/974z67;;;;
sch123456;7;ias07/sch123456/7/97g285;;;;
